customer_id,home_market,signup_date,age_group,income_group,home_area_type,acquisition_channel,device,loyalty_member,prior_rides,prior_spend,prior_promotions_used,days_since_last_ride,prior_avg_rating,prior_complaints
C00001,Riverton,2023-08-17,55-64,$60k-$89k,Inner suburb,Paid search,Android,0,6,91.26,2,59,4.61,0
C00002,Riverton,2023-08-28,35-44,$125k+,Outer suburb,Social media,iOS,1,4,89.44,1,14,4.85,0
C00003,Lake City,2022-06-07,18-24,$60k-$89k,Urban core,Organic,Android,0,12,301.07,0,22,5.0,0
C00004,Lake City,2023-12-24,55-64,$35k-$59k,Outer suburb,Referral,Android,0,3,42.85,0,10,4.92,0
C00005,Lake City,2024-06-26,35-44,$35k-$59k,Urban core,Referral,iOS,0,22,497.49,3,30,4.81,0
C00006,Mesa Vista,2022-12-17,45-54,$60k-$89k,Inner suburb,Organic,iOS,0,0,0.0,0,322,5.0,0
C00007,Lake City,2023-07-08,65+,Under $35k,Inner suburb,Referral,Android,0,2,43.21,1,12,4.98,0
C00008,Northport,2022-09-22,45-54,$90k-$124k,Urban core,Paid search,iOS,1,7,228.98,1,55,4.5,0
C00009,Lake City,2024-03-15,45-54,$125k+,Urban core,Paid search,iOS,0,9,237.7,5,9,3.98,0
C00010,Lake City,2024-12-29,65+,Under $35k,Inner suburb,Paid search,iOS,0,0,0.0,0,233,4.91,0
C00011,Lake City,2023-05-16,18-24,$35k-$59k,Urban core,Referral,Android,0,4,72.02,1,42,4.82,0
C00012,Northport,2023-07-05,35-44,$60k-$89k,Urban core,Referral,Android,0,8,115.39,3,22,4.69,1
C00013,Northport,2023-03-02,35-44,$125k+,Urban core,Social media,Android,0,8,252.78,0,22,4.19,0
C00014,Grand Junction,2022-11-22,18-24,$90k-$124k,Inner suburb,Partnership,iOS,1,27,503.84,1,11,4.57,1
C00015,Grand Junction,2022-07-24,25-34,$125k+,Outer suburb,Organic,iOS,0,9,248.31,4,35,4.63,0
C00016,Riverton,2022-01-03,25-34,$60k-$89k,Inner suburb,Organic,Android,0,9,161.53,2,59,5.0,0
C00017,Lake City,2023-07-30,35-44,,Inner suburb,Organic,iOS,0,1,29.93,0,118,4.63,0
C00018,Riverton,2023-05-25,65+,,Inner suburb,Social media,iOS,0,3,68.97,1,34,4.95,0
C00019,Northport,2022-03-22,25-34,$60k-$89k,Outer suburb,Referral,iOS,0,0,0.0,0,214,4.69,0
C00020,Grand Junction,2024-02-27,55-64,$90k-$124k,Urban core,Paid search,iOS,0,13,260.35,3,57,4.92,0
C00021,Northport,2022-05-06,25-34,$60k-$89k,Outer suburb,Organic,iOS,0,4,90.49,1,13,4.83,0
C00022,Mesa Vista,2022-04-23,35-44,$125k+,Urban core,Paid search,Android,0,2,46.71,0,13,4.46,0
C00023,Northport,2023-06-17,25-34,$60k-$89k,Urban core,Referral,iOS,0,0,0.0,0,485,4.99,0
C00024,Mesa Vista,2024-01-21,35-44,Under $35k,Urban core,Paid search,Android,0,12,242.53,2,15,4.46,0
C00025,Lake City,2023-09-28,18-24,$35k-$59k,Inner suburb,Organic,iOS,0,0,0.0,0,289,4.75,0
C00026,Mesa Vista,2024-01-10,18-24,,Inner suburb,Partnership,iOS,0,6,100.63,3,3,4.57,1
C00027,Grand Junction,2024-01-09,45-54,$125k+,Outer suburb,Organic,iOS,0,1,29.12,0,5,5.0,0
C00028,Northport,2022-07-31,18-24,$35k-$59k,Inner suburb,Organic,Android,0,0,0.0,0,372,4.66,0
C00029,Grand Junction,2022-10-21,65+,$60k-$89k,Inner suburb,Organic,Android,0,5,108.09,1,1,4.84,0
C00030,Riverton,2022-06-16,18-24,$35k-$59k,Outer suburb,Partnership,Android,0,9,235.64,2,48,4.62,0
C00031,Grand Junction,2024-02-23,25-34,$60k-$89k,Inner suburb,Partnership,iOS,0,2,45.04,1,14,4.22,1
C00032,Mesa Vista,2024-05-22,65+,$60k-$89k,Inner suburb,Organic,iOS,1,67,1890.7,1,28,4.78,1
C00033,Mesa Vista,2024-11-10,55-64,$35k-$59k,Urban core,Social media,iOS,0,3,61.37,1,41,5.0,0
