campaign_id,customer_id,assignment_date,treatment_group,offer_value,message_type,offer_opened,booked_within_30d,rides_within_30d,gross_spend_within_30d,offer_redeemed,promotion_cost,net_revenue_within_30d,retained_within_60d
WINBACK_2025_06,C00001,2025-06-02,20% off,6.5,Save money,0,0,0,0.0,0,0.0,0.0,1
WINBACK_2025_06,C00002,2025-06-02,Control,0.0,No message,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00003,2025-06-02,Message only,0.0,Save money,1,1,1,17.5,0,0.0,12.6,1
WINBACK_2025_06,C00004,2025-06-02,$5 ride credit,5.0,Save money,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00005,2025-06-02,Control,0.0,No message,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00006,2025-06-02,$5 off,5.0,Try us again,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00007,2025-06-02,Message only,0.0,Convenience,1,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00008,2025-06-02,Message only,0.0,Try us again,0,1,2,45.82,0,0.0,32.99,0
WINBACK_2025_06,C00009,2025-06-02,20% off,6.5,Save money,1,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00010,2025-06-02,$5 off,5.0,Convenience,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00011,2025-06-02,20% off,6.5,Save money,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00012,2025-06-02,Control,0.0,No message,0,0,0,0.0,0,0.0,0.0,1
WINBACK_2025_06,C00013,2025-06-02,20% off,6.5,Try us again,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00014,2025-06-02,$5 ride credit,5.0,Convenience,1,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00015,2025-06-02,Control,0.0,No message,0,1,1,21.67,0,0.0,15.6,0
WINBACK_2025_06,C00016,2025-06-02,$5 off,5.0,Try us again,1,0,0,0.0,0,0.0,0.0,1
WINBACK_2025_06,C00017,2025-06-02,Control,0.0,No message,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00018,2025-06-02,Message only,0.0,Convenience,0,1,3,72.09,0,0.0,51.9,0
WINBACK_2025_06,C00019,2025-06-02,Control,0.0,No message,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00020,2025-06-02,Message only,0.0,Convenience,1,0,0,0.0,0,0.0,0.0,1
WINBACK_2025_06,C00021,2025-06-02,$5 ride credit,5.0,Save money,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00022,2025-06-02,Message only,0.0,Convenience,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00023,2025-06-02,$5 off,5.0,Try us again,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00024,2025-06-02,$5 ride credit,5.0,Save money,0,1,2,44.67,1,5.0,27.16,0
WINBACK_2025_06,C00025,2025-06-02,$5 ride credit,5.0,Convenience,0,0,0,0.0,0,0.0,0.0,1
WINBACK_2025_06,C00026,2025-06-02,20% off,6.5,Convenience,1,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00027,2025-06-02,$5 off,5.0,Save money,0,1,2,34.96,1,5.0,20.17,1
WINBACK_2025_06,C00028,2025-06-02,$5 off,5.0,Try us again,0,0,0,0.0,0,0.0,0.0,0
WINBACK_2025_06,C00029,2025-06-02,$5 ride credit,5.0,Save money,0,1,2,53.88,1,5.0,33.79,0
WINBACK_2025_06,C00030,2025-06-02,20% off,6.5,Save money,1,0,0,0.0,0,0.0,0.0,0
