ride_id,customer_id,request_date,request_hour,day_of_week,weekend,market,trip_type,distance_miles,estimated_duration_min,standard_estimated_wait_min,priority_eligible,priority_estimated_wait_min,priority_surcharge,priority_selected,temperature_f,rain,snow,high_demand,service_disruption,surge_multiplier,quoted_fare,campaign_id,campaign_treatment,campaign_offer_applied,discount_amount,ride_credit_earned,amount_paid,completed,customer_cancelled,driver_cancelled,actual_wait_min,actual_duration_min,driver_id,driver_experience_months,driver_rating_before_ride,vehicle_quality,customer_rating,complaint
R000001,C05693,2025-09-19,16,Friday,0,Lake City,Leisure,3.5,8.2,5.5,0,,,0,71.8,0,0,0,0,1.0,13.46,,,0,0.0,0.0,13.46,1,0,0,7.1,15.5,D0935,19,4.86,Standard,,0
R000002,C11863,2025-08-02,19,Saturday,1,Riverton,Errand,7.0,19.5,14.5,0,,,0,95.0,0,0,0,0,1.0,19.9,,,0,0.0,0.0,19.9,1,0,0,18.3,21.1,D1346,1,4.74,Comfort,4,0
R000003,C00605,2025-08-14,22,Thursday,0,Mesa Vista,Errand,5.0,16.9,5.4,0,,,0,67.4,0,0,0,0,1.0,18.67,,,0,0.0,0.0,18.67,1,0,0,6.7,19.2,D0744,22,4.82,Comfort,5,0
R000004,C08121,2025-12-01,4,Monday,0,Mesa Vista,Leisure,2.3,8.7,10.0,0,,,0,42.8,0,0,1,0,1.25,15.24,,,0,0.0,0.0,15.24,1,0,0,11.2,7.9,D0528,28,4.73,Comfort,5,0
R000005,C00041,2025-03-21,13,Friday,0,Mesa Vista,Leisure,7.2,19.5,7.8,0,,,0,26.7,0,0,1,0,1.4,32.26,,,0,0.0,0.0,32.26,1,0,0,6.3,19.8,D1320,54,4.89,Standard,,0
R000006,C08774,2025-12-16,13,Tuesday,0,Mesa Vista,Commute,3.4,9.3,7.8,1,1.2,5.0,0,29.2,0,1,0,1,1.0,14.23,,,0,0.0,0.0,14.23,1,0,0,13.3,9.9,D1667,10,4.79,Comfort,4,0
R000007,C07875,2025-06-25,13,Wednesday,0,Grand Junction,Errand,12.1,26.8,4.3,0,,,0,80.0,0,0,0,0,1.0,30.93,WINBACK_2025_06,Control,0,0.0,0.0,0.0,0,1,0,4.6,24.2,D1373,11,4.75,Comfort,,0
R000008,C06705,2025-12-24,3,Wednesday,0,Northport,Leisure,2.4,10.7,5.8,0,,,0,26.6,0,0,0,0,1.0,11.11,,,0,0.0,0.0,11.11,1,0,0,6.3,13.7,D0138,22,4.75,Comfort,5,0
R000009,C08434,2025-07-20,12,Sunday,1,Northport,Errand,5.8,17.9,7.3,0,,,0,83.0,1,0,0,0,1.0,18.57,,,0,0.0,0.0,18.57,1,0,0,8.8,20.7,D1771,41,4.87,Comfort,5,0
R000010,C09418,2025-09-08,7,Monday,0,Lake City,Airport,4.4,15.0,8.1,0,,,0,68.9,1,0,1,0,1.25,20.64,,,0,0.0,0.0,20.64,1,0,0,10.2,23.1,D0150,17,5.0,Standard,5,0
